"File","XsltVersion","ScriptBlocks","UsesMsxslOrNodeSet","ScriptFunctionCalls","HasThreadSleep","HasGuidNewGuid","HasStaticState","MigrationRisk"
"C:\Repos\ELEVATE\xslt\158 - Frigologix\McCain\FrigoVDM_EFACT_D96A_DESADV_To_McCain_SND_SHIPMENT.xslt","1.0","1","True","MyScript:GetCPSCounter; MyScript:GetPalletExchange; MyScript:ParseDate; MyScript:ResetPackageQty; MyScript:SetPackageQty","False","True","True","High"
"C:\Repos\ELEVATE\xslt\158 - Frigologix\McCain\FrigoVDM_EFACT_D96A_INVRPT_To_McCain_SND_CARRSTATCHNGE.xslt","1.0","1","True","MyScript:Abs; MyScript:ConvertStatusCode; MyScript:GetLinCounter; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\158 - Frigologix\McCain\FrigoVDM_EFACT_D96A_INVRPT_To_McCain_SND_STOCKADJUSTMENT.xslt","1.0","1","True","MyScript:Abs; MyScript:ConvertStatusCode; MyScript:GetLinCounter; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\158 - Frigologix\McCain\FrigoVDM_EFACT_D96A_INVRPT_To_McCain_SND_STOCKSTATUS.xslt","1.0","1","True","MyScript:ConvertStatusCode; MyScript:GetLinCounter; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\158 - Frigologix\McCain\FrigoVDM_EFACT_D96A_RECADV_To_McCain_SND_RECEIPT.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\158 - Frigologix\McCain\McCAIN_EFACT_D96A_DESADV_To_FrigoVDM_RCV_RECEIPT.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\158 - Frigologix\McCain\McCAIN_EFACT_D96A_HANMOV_To_FrigoVDM_RCV_SHIPMENT.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\GMB_SND-CARRSTATCHANGE_To_SKT_VIO-ACK.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\GMB_SND-DETAILLINE_To_SKT_VIO-ACK.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\GMB_SND-POSTED-SHIPMENT_To_SKT_DESPATCH-ACK.xslt","1.0","1","True","MyScript:GetNextPalletLine; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\GMB_SND-SHIPMENT_To_SKT_DESPATCH-ACK.xslt","1.0","1","True","MyScript:GetNextPalletLine; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\GMB_SND-SHIPMENT_To_SKT_VIO-ACK.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\GMB_SND-STOCKADJUSTMENT_To_SKT_VIO-ACK.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\GMB_SND-TRANSFER_To_SKT_VIO-ACK.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\Old\GMB_Header_To_Header_datetime.xslt","1.0","1","True","MyScript:ParseDate","False","False","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\Old\GMB_SND-CARRSTATCHANGE_To_SKT_VIO-ACK.xslt","1.0","1","True","","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\Old\GMB_SND-DETAILLINE_To_SKT_VIO-ACK.xslt","1.0","1","True","","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\Old\GMB_SND-SHIPMENT_To_SKT_DESPATCH-ACK.xslt","1.0","1","True","MyScript:GetNextPalletLine; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\Old\GMB_SND-SHIPMENT_To_SKT_VIO-ACK.xslt","1.0","1","True","","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\Old\GMB_SND-STOCKADJUSTMENT_To_SKT_VIO-ACK.xslt","1.0","1","True","","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\Old\GMB_SND-STOCKSTATUS_To_SKT_STOCK.xslt","1.0","1","True","MyScript:ParseDate","False","False","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\Old\GMB_SND-TRANSFER_To_SKT_VIO-ACK.xslt","1.0","1","True","","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\Old\GMB_SND-TRIP_To_SKT_DESPATCH-ACK.xslt","1.0","1","True","MyScript:GetNextPalletLine; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\SKT_DESPATCH_To_DESPATCH-merged.xslt","1.0","1","True","MyScript:AddToMinRunSeqIdList; MyScript:GetCounter; MyScript:GetCounter2; MyScript:GetLoadSeq; MyScript:GetMaxRunSeqId; MyScript:SetMaxRunSeqId; MyScript:SetMinRunSeqId","False","False","True","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\SKT_DESPATCH_To_GMB_RCV_SHIPMENT.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\SKT_DESPATCH_To_GMB_RCV_TRIP.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:ParseDate; MyScript:Sleep","True","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\SKT_ORDER_To_GMB_RCV-MMD.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:GetFromSplitsArray; MyScript:Split","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\SKT\SKT_VIO_To_GMB_RCV-ASN.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:GetFromSplitsArray; MyScript:ParseDate; MyScript:Split","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\Voorkaai\SKT_DESPATCH_To_DESPATCH-merged-new.xslt","1.0","1","True","MyScript:AddToMinRunSeqIdList; MyScript:GetCounter; MyScript:GetCounter2; MyScript:GetLoadSeq; MyScript:SetMinRunSeqId","False","False","True","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\Voorkaai\SKT_DESPATCH_To_GMB_RCV_SHIPMENT.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:ParseDate; MyScript:ToUpper","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\Voorkaai\SKT_DESPATCH_To_GMB_RCV_TRIP.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:ParseDate; MyScript:Sleep","True","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\Voorkaai\SKT_ORDER_To_GMB_RCV-MMD.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:GetFromSplitsArray; MyScript:Split","False","True","False","High"
"C:\Repos\ELEVATE\xslt\174 - Bauwens\Voorkaai + Bleukenlaan\Voorkaai\SKT_VIO_To_GMB_RCV-ASN.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:GetFromSplitsArray; MyScript:ParseDate; MyScript:Split","False","True","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Actura\Phase 1.0 (Old Format)\XSLT\ActuraBE_EFACT_D96A_ORDERS_To_Dandoy_RCV_SHIPMENT_Split.xslt","1.0","1","True","MyScript:BuildMessage; MyScript:ClearMessage; MyScript:SetUNZSegment; MyScript:WriteMessage","False","False","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Actura\Phase 1.0 (Old Format)\XSLT\ActuraBE_EFACT_D96A_ORDERS_To_Dandoy_RCV_SHIPMENT.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Actura\Phase 1.0 (Old Format)\XSLT\Dandoy_EFACT_D96A_RECADV_To_ActuraBE_SND_RECEIPT.xslt","1.0","1","True","MyScript:GetLinCounter; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Actura\Phase 1.0 (Old Format)\XSLT\Dandoy_PICK_To_ActuraBE_SND_SHIPMENT.xslt","1.0","1","True","MyScript:ParseDate","False","False","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Actura\Track & Trace Project Pro Agrica\XSLT\Proagrica_TandT_DespatchAdvice_To_Dandoy_RCV_RECEIPT.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Belchim\BelchimCP_ShipRequest_To_Dandoy_RCV_CUSTTRANSFER.xslt","1.0","1","True","MyScript:AddDays; MyScript:GetCurrentDate; MyScript:GetGUID; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Belchim\BelchimCP_ShipRequest_To_Dandoy_RCV_SHIPMENT.xslt","1.0","1","True","MyScript:AddDays; MyScript:GetCurrentDate; MyScript:GetGUID; MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Belchim\Dandoy_SND_SHIPMENT_To_BelchimCP_ShipConfirmBE.xslt","1.0","1","True","MyScript:ParseDate","False","False","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Belchim\Dandoy_SND_SHIPMENT_To_Protex_ShipConfirmPR.xslt","1.0","1","True","MyScript:ParseDate","False","False","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Belchim\Proagrica\BelchimCP_ShipRequest_To_Dandoy_RCV_SHIPMENT.xslt","1.0","1","True","MyScript:ParseDate","False","True","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Belchim\Proagrica\Dandoy_SND_SHIPMENT_To_BelchimCP_ShipConfirmBE.xslt","1.0","1","True","MyScript:ParseDate","False","False","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Belchim\Proagrica\Dandoy_SND_SHIPMENT_To_ProAgrica_ShipConfirmBE_Carriers.xslt","1.0","1","True","MyScript:ParseDate","False","False","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Elco\ILP_CONS\ELCO_ILPCons_SNDShipment_To_Elco.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:ParseDate; MyScript:PrintApos; MyScript:Replace","False","False","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Elco\ILP_STOCK\ELCO_ILPStock_SNDStockStatus_To_Elco.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:PrintApos; MyScript:Replace","False","False","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Elco\OLP_CONS\OLP_CONS.xslt","1.0","1","True","MyScript:RemEmptySpace","False","False","True","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Elco\OLP_CONS\RCV_Shipment.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:GetGUID; MyScript:GetMatnr; MyScript:ParseDate; MyScript:SetMatnr","False","True","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Elco\OLP_MAT\ELCO_RSVMMD_To_Dandoy_OLP_MAT.xslt","1.0","1","True","MyScript:GetCurrentDate; MyScript:GetDecimal; MyScript:RemEmptySpace","False","True","False","High"
"C:\Repos\ELEVATE\xslt\181 - Dandoy\Elco\SKT_DESPATCH_To_DESPATCH-merged.xslt","1.0","1","True","MyScript:AddToMinRunSeqIdList; MyScript:GetCounter; MyScript:GetCounter2; MyScript:GetLoadSeq; MyScript:SetMinRunSeqId","False","False","True","High"
"C:\Repos\ELEVATE\xslt\227 - Shift\Exact Online\Shift InternationalCN.xslt","1.0","1","True","userCSharp:AddAccount; userCSharp:GetAccountAmount; userCSharp:GetCurrentDate; userCSharp:GetVATAmount","False","False","True","High"
"C:\Repos\ELEVATE\xslt\227 - Shift\Exact Online\Shift InternationalSI.xslt","1.0","1","True","userCSharp:AddAccount; userCSharp:GetAccountAmount; userCSharp:GetCurrentDate; userCSharp:GetVATAmount","False","False","True","High"
